id,text,category,priority
4450,Road shoulder eroded narrow dangerous at Rajiv Gandhi Square highway,Roads & Potholes,Medium
4451,Bridge railing broken dangerous for vehicles at Nehru Nagar,Roads & Potholes,High
4452,Request decorative lights for Regal Square main market,Street Lights,Low
4453,Short circuit sparks from street light pole at Marimata Chowk,Street Lights,High
4454,Potholes on Polo Ground road causing tyre punctures daily,Roads & Potholes,Medium
4455,High mast light tower tilting about to fall at Sapna Sangeeta Road,Street Lights,High
4456,Bridge railing broken dangerous for vehicles at Bijalpur This has been ignored for long.,Roads & Potholes,High
4457,Suggest road beautification drive for Bangali Chowk main road,Roads & Potholes,Low
4458,Road marking lines faded invisible at Bhawarkua junction,Roads & Potholes,Medium
4459,Old pipeline replacement request for Nipania lane This is causing great inconvenience.,Water Issues,Low
4460,Broken light pole fallen on road blocking traffic at Palasia,Street Lights,High
4461,Contaminated dirty yellow water supply in Gandhi Nagar area,Water Issues,High
4462,Request road widening for Polo Ground narrow lane Residents are suffering.,Roads & Potholes,Low
4463,Water supply available only 10 hours daily in Bijalpur,Water Issues,Medium
4464,Suggest smart street lighting for Rau main road,Street Lights,Low
4465,6 street lights broken on main road Nipania Residents are suffering.,Street Lights,Medium
4466,Suggest water conservation awareness in Geeta Bhawan ward,Water Issues,Low
4467,Water connection pipe broken needs replacement at Juni Indore Kindly look into this matter.,Water Issues,Medium
4468,Request light timer adjustment for Rajendra Nagar street lights,Street Lights,Low
4469,Live electric wire fallen on road at Airport Road danger to life This has been ignored for long.,Electricity,High
4470,Request dog shelter near Scheme 140 for stray animals,Sanitation,Low
4471,Water connection pipe broken needs replacement at Regal Square Residents are suffering.,Water Issues,Medium
4472,Frequent power cuts 4 times daily affecting Tilak Nagar This has been ignored for long.,Electricity,Medium
4473,Old pipeline replacement request for AB Road lane,Water Issues,Low
4474,Suggest parking area demarcation at Malharganj market This has been ignored for long.,Roads & Potholes,Low
4475,Rats infestation in Airport Road colony garbage issue,Sanitation,Medium
4476,Manhole overflow raw sewage on road at Ring Road colony Please take immediate action.,Sanitation,High
4477,Request for new water connection at Geeta Bhawan plot,Water Issues,Low
4478,No potable water available entire Rajendra Nagar ward for 3 days Residents are suffering.,Water Issues,High
4479,Suggest awareness campaign for LIG Colony cleanliness Please take immediate action.,Sanitation,Low
4480,Electric short circuit fire sparks from box at Nehru Nagar,Electricity,High
4481,Request additional dustbin near Bhanwarkua bus stop Please take immediate action.,Sanitation,Low
4482,Suggest festive lighting plan for Chandan Nagar market area,Street Lights,Low
4483,Road completely broken vehicles falling in crater at Kanadiya Road,Roads & Potholes,High
4484,Flickering street light disturbing residents at Gandhi Nagar This is causing great inconvenience.,Street Lights,Medium
4485,Street light timer wrong on at daytime at Airport Road Kindly look into this matter.,Street Lights,Medium
4486,Sewage entering residential area Lasudia disease outbreak risk Kindly look into this matter.,Sanitation,High
4487,Drainage completely blocked sewage backup flooding Pardesipura,Sanitation,High
4488,Road divider collapsed blocking lanes at Race Course Road highway,Roads & Potholes,High
4489,Request additional dustbin near Pardesipura bus stop,Sanitation,Low
4490,High voltage wire touching tree branches at Rau risk Residents are suffering.,Electricity,High
4491,Dead animals decomposing on road health hazard at Geeta Bhawan,Sanitation,High
4492,Request additional street light at South Tukoganj dark corner,Electricity,Low
4493,1 street lights broken on main road Sanyogitaganj This is causing great inconvenience.,Street Lights,Medium
4494,Water bill correction request for AB Road address,Water Issues,Low
4495,Drainage completely blocked sewage backup flooding MG Road,Sanitation,High
4496,High mast light tower tilting about to fall at Bypass Road,Street Lights,High
4497,Water connection pipe broken needs replacement at Agrawal Nagar Please take immediate action.,Water Issues,Medium
4498,Toxic waste dumped illegally near Marimata Chowk water body,Sanitation,High
4499,Entire Bengali Square colony dark for 1 nights crime risk high,Street Lights,High
4500,High mast light tower tilting about to fall at Nehru Nagar,Street Lights,High
4501,Live electric wire fallen on road at Geeta Bhawan danger to life Kindly look into this matter.,Electricity,High
4502,Half the street lights in Shivaji Nagar colony not working This has been ignored for long.,Street Lights,Medium
4503,Chemical waste dumped in Polo Ground drain water contaminated,Sanitation,High
4504,Sewage pipeline burst waste water flooding Pardesipura area,Sanitation,High
4505,Road completely submerged under water impassable Musakhedi Kindly look into this matter.,Roads & Potholes,High
4506,Suggest solar lights for Chandan Nagar park pathway This is causing great inconvenience.,Electricity,Low
4507,Pipeline leaking minor dripping near Agrawal Nagar chowk,Water Issues,Medium
4508,Bridge railing broken dangerous for vehicles at Sapna Sangeeta Road Residents are suffering.,Roads & Potholes,High
4509,Suggest LED replacement for old lights at Polo Ground,Electricity,Low
4510,Street lights dim not bright enough at Bypass Road road Kindly look into this matter.,Street Lights,Medium
4511,Contaminated dirty yellow water supply in Malharganj area Please resolve urgently.,Water Issues,High
4512,Water tanker delayed by 5 hours daily at Dewas Naka Residents are suffering.,Water Issues,Medium
4513,Power cut for 3 hours continuously in Rau no supply Please take immediate action.,Electricity,High
4514,Overhead tank dirty needs cleaning in Juni Indore colony,Water Issues,Medium
4515,Request reflector posts on Residency Area road curve This has been ignored for long.,Roads & Potholes,Low
4516,Generator backup not starting during cuts at Pardesipura Kindly look into this matter.,Electricity,Medium
4517,Request decorative lights for Scheme 78 main market,Street Lights,Low
4518,Pipe leakage on road wasting water daily at Vijay Nagar This is causing great inconvenience.,Water Issues,Medium
4519,Traffic signal light not working properly at Regal Square This has been ignored for long.,Roads & Potholes,Medium
4520,Open manhole cover missing accident risk at Agrawal Nagar road This is causing great inconvenience.,Roads & Potholes,High
4521,No water supply for 6 days in entire Sanyogitaganj colony,Water Issues,High
4522,Drain blocked water stagnating mosquitoes breeding Bhanwarkua This is causing great inconvenience.,Sanitation,Medium
4523,Broken light pole fallen on road blocking traffic at Dewas Naka,Street Lights,High
4524,Request cleaning of Nanda Nagar park pond water body This is causing great inconvenience.,Sanitation,Low
4525,Water supply completely stopped since 6 days in Scheme 140,Water Issues,High
4526,Road cave in sinkhole formed at Nanda Nagar near main market,Roads & Potholes,High
4527,Water connection pipe broken needs replacement at Chandan Nagar,Water Issues,Medium
4528,Entire Race Course Road colony dark for 2 nights crime risk high This is causing great inconvenience.,Street Lights,High
4529,Construction debris dumped illegally at Bangali Chowk road,Sanitation,Medium
4530,Overhead wire hanging low touching vehicles at Dewas Naka Residents are suffering.,Electricity,High
4531,Request for new water connection at Tilak Nagar plot Please take immediate action.,Water Issues,Low
4532,Massive crater on main road vehicles damaged at Race Course Road,Roads & Potholes,High
4533,Road marking lines faded invisible at Bombay Hospital Road junction Kindly look into this matter.,Roads & Potholes,Medium
4534,Road divider collapsed blocking lanes at Nanda Nagar highway This is causing great inconvenience.,Roads & Potholes,High
4535,10 street lights broken on main road Musakhedi,Street Lights,Medium
4536,Request additional dustbin near South Tukoganj bus stop,Sanitation,Low
4537,Road shoulder eroded narrow dangerous at Sector 12 highway This has been ignored for long.,Roads & Potholes,Medium
4538,Frequent power cuts 6 times daily affecting Sanyogitaganj Residents are suffering.,Electricity,Medium
4539,No potable water available entire Pardesipura ward for 4 days,Water Issues,High
4540,Water supply timing irregular in Shivaji Nagar ward,Water Issues,Medium
4541,Electric short circuit fire sparks from box at Ring Road Please take immediate action.,Electricity,High
4542,Electric pole tilting about to fall on road at Annapurna Road Residents are suffering.,Electricity,High
4543,Flickering street light disturbing residents at Khajrana This has been ignored for long.,Street Lights,Medium
4544,Request road widening for Bhawarkua narrow lane This has been ignored for long.,Roads & Potholes,Low
4545,Frequent power cuts 6 times daily affecting Kanadiya Road Residents are suffering.,Electricity,Medium
4546,Water supply available only 4 hours daily in Sanyogitaganj,Water Issues,Medium
4547,Drain blocked water stagnating mosquitoes breeding Old Palasia Please resolve urgently.,Sanitation,Medium
4548,Request traffic mirror at blind corner near Bhanwarkua,Roads & Potholes,Low
4549,Open garbage burning smoke nuisance near Rau,Sanitation,Medium
4550,Water connection pipe broken needs replacement at Airport Road,Water Issues,Medium
4551,Dustbin overflowing garbage spilling on road at Rajiv Gandhi Square,Sanitation,Medium
4552,Request for new water connection at Nipania plot,Water Issues,Low
4553,Request road widening for Treasure Island Area narrow lane This has been ignored for long.,Roads & Potholes,Low
